model,dtype,new_tokens,device,ttft_ms,prefill_tps,decode_tps,overall_tps,error
Qwen/Qwen2.5-0.5B-Instruct,bfloat16,128,xpu,51.1,1665.49,24.09,24.05,
Qwen/Qwen2.5-0.5B-Instruct,bfloat16,512,xpu,66.5,1322.56,18.37,18.36,
Qwen/Qwen2.5-0.5B-Instruct,float16,128,xpu,82.9,1035.38,16.83,16.78,
Qwen/Qwen2.5-0.5B-Instruct,float16,512,xpu,53.0,1619.87,22.41,22.4,
Qwen/Qwen2.5-1.5B-Instruct,bfloat16,128,xpu,125.7,676.46,12.5,12.45,
Qwen/Qwen2.5-1.5B-Instruct,bfloat16,512,xpu,101.7,842.35,13.85,13.84,
Qwen/Qwen2.5-1.5B-Instruct,float16,128,xpu,111.5,764.63,13.76,13.7,
Qwen/Qwen2.5-1.5B-Instruct,float16,512,xpu,103.0,826.92,12.7,12.69,
meta-llama/Llama-3.2-1B-Instruct,bfloat16,128,xpu,98.6,924.22,16.7,16.61,
meta-llama/Llama-3.2-1B-Instruct,bfloat16,512,xpu,97.2,937.93,17.27,17.24,
meta-llama/Llama-3.2-1B-Instruct,float16,128,xpu,88.5,1029.18,19.12,19.02,
meta-llama/Llama-3.2-1B-Instruct,float16,512,xpu,92.7,983.84,16.04,16.03,
